timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
12.095873,0.586242,0.762114,-9.533005,0.036805,-0.090408,-0.041081
12.100395,0.602991,0.763310,-9.504291,0.031001,-0.082925,-0.036805
12.105323,0.602991,0.763310,-9.504291,0.031001,-0.082925,-0.036805
12.109909,0.599402,0.759721,-9.533005,0.034208,-0.088270,-0.036805
12.114389,0.599402,0.759721,-9.533005,0.034208,-0.088270,-0.036805
12.118861,0.599402,0.759721,-9.533005,0.034514,-0.091783,-0.035430
12.123608,0.611366,0.747757,-9.540184,0.034514,-0.091783,-0.035430
12.128292,0.611366,0.747757,-9.540184,0.034514,-0.091783,-0.035430
12.132804,0.604188,0.744168,-9.515059,0.035888,-0.091630,-0.036805
12.137271,0.604188,0.744168,-9.515059,0.035888,-0.091630,-0.036805
12.141737,0.600598,0.762114,-9.513863,0.036499,-0.091019,-0.035888
12.146542,0.600598,0.762114,-9.513863,0.036499,-0.091019,-0.035888
12.151056,0.595813,0.756132,-9.480363,0.037874,-0.094531,-0.038179
12.155881,0.595813,0.756132,-9.480363,0.037874,-0.094531,-0.038179
12.160427,0.604188,0.739382,-9.541380,0.031460,-0.087506,-0.034514
12.165133,0.604188,0.739382,-9.541380,0.031460,-0.087506,-0.034514
12.169826,0.594616,0.744168,-9.500702,0.030238,-0.086743,-0.033903
12.174554,0.594616,0.744168,-9.500702,0.030238,-0.086743,-0.033903
12.179070,0.594616,0.744168,-9.500702,0.034819,-0.092241,-0.036499
12.183914,0.563510,0.736989,-9.531809,0.034819,-0.092241,-0.036499
12.188675,0.563510,0.736989,-9.531809,0.038179,-0.097738,-0.038026
12.193464,0.607777,0.764507,-9.527023,0.038179,-0.097738,-0.038026
12.198569,0.607777,0.764507,-9.527023,0.034056,-0.090866,-0.034514
12.203886,0.582652,0.760918,-9.518648,0.034056,-0.090866,-0.034514
12.211374,0.580259,0.764507,-9.549755,0.036041,-0.095295,-0.036499
12.217266,0.580259,0.764507,-9.549755,0.036041,-0.095295,-0.036499
12.222644,0.574277,0.762114,-9.566505,0.033903,-0.091630,-0.036194
12.227973,0.574277,0.762114,-9.566505,0.033903,-0.091630,-0.036194
12.233054,0.594616,0.782453,-9.515059,0.035888,-0.093615,-0.038943
12.238133,0.594616,0.782453,-9.515059,0.035888,-0.093615,-0.038943
12.243257,0.574277,0.775275,-9.516255,0.034819,-0.087812,-0.037110
12.248425,0.574277,0.775275,-9.516255,0.034819,-0.094226,-0.039401
12.253585,0.624527,0.752543,-9.524630,0.037721,-0.094226,-0.039401
12.258272,0.624527,0.752543,-9.524630,0.037721,-0.094226,-0.038485
12.263098,0.562313,0.758525,-9.506684,0.037110,-0.091783,-0.038485
12.267882,0.562313,0.758525,-9.506684,0.037110,-0.091783,-0.038485
12.272385,0.589831,0.753739,-9.549755,0.038485,-0.095753,-0.039554
12.276892,0.589831,0.753739,-9.549755,0.038485,-0.095753,-0.039554
12.281394,0.588634,0.753739,-9.577272,0.033750,-0.091630,-0.031307
12.286034,0.588634,0.753739,-9.577272,0.033750,-0.091630,-0.031307
12.290602,0.594616,0.742971,-9.543773,0.036499,-0.096822,-0.033598
12.295133,0.594616,0.742971,-9.543773,0.036499,-0.096822,-0.033598
12.299647,0.583849,0.758525,-9.494720,0.037110,-0.095906,-0.032223
12.304590,0.583849,0.758525,-9.494720,0.037110,-0.095906,-0.032223
12.309306,0.583849,0.756132,-9.555737,0.033903,-0.094531,-0.032681
12.314072,0.581456,0.756132,-9.555737,0.033903,-0.094531,-0.032681
12.318825,0.581456,0.756132,-9.555737,0.036041,-0.096364,-0.037568
12.323583,0.598206,0.747757,-9.564112,0.036041,-0.096364,-0.037568
12.328189,0.598206,0.747757,-9.564112,0.036041,-0.096364,-0.035277
12.332917,0.579063,0.734597,-9.562916,0.032529,-0.087812,-0.035277
12.337676,0.579063,0.734597,-9.562916,0.032529,-0.087812,-0.035277
12.342506,0.607777,0.733400,-9.543773,0.032376,-0.086590,-0.034819
12.347183,0.607777,0.733400,-9.543773,0.032376,-0.086590,-0.034819
12.351708,0.576670,0.751346,-9.510273,0.035583,-0.093004,-0.036499
12.356221,0.576670,0.751346,-9.510273,0.035583,-0.093004,-0.036499
12.361168,0.581456,0.735793,-9.519845,0.036499,-0.093615,-0.038943
12.365963,0.581456,0.735793,-9.519845,0.036499,-0.093615,-0.038943
12.370727,0.593420,0.752543,-9.529416,0.034667,-0.093310,-0.037110
12.375262,0.593420,0.752543,-9.529416,0.034667,-0.093310,-0.037110
12.379809,0.574277,0.759721,-9.543773,0.034361,-0.091935,-0.033903
12.384526,0.574277,0.759721,-9.543773,0.034361,-0.091935,-0.033903
12.389323,0.597009,0.760918,-9.530612,0.034361,-0.093157,-0.033139
12.394033,0.597009,0.760918,-9.530612,0.034361,-0.093157,-0.033139
12.398777,0.597009,0.760918,-9.530612,0.033292,-0.091019,-0.034361
12.403527,0.568295,0.748953,-9.527023,0.033292,-0.091019,-0.034361
12.408168,0.568295,0.748953,-9.527023,0.037874,-0.096669,-0.037415
12.412886,0.606581,0.769292,-9.554541,0.037874,-0.096669,-0.037415
12.417628,0.606581,0.769292,-9.554541,0.037874,-0.096669,-0.037415
12.422318,0.592224,0.762114,-9.558130,0.032834,-0.087201,-0.034972
12.426858,0.592224,0.762114,-9.558130,0.032834,-0.087201,-0.034972
12.431424,0.611366,0.766900,-9.530612,0.030849,-0.084299,-0.034667
12.435943,0.611366,0.766900,-9.530612,0.030849,-0.084299,-0.034667
12.440701,0.587438,0.751346,-9.519845,0.035277,-0.091324,-0.038332
12.445239,0.587438,0.751346,-9.519845,0.035277,-0.091324,-0.038332
12.450081,0.601795,0.756132,-9.523434,0.033750,-0.089644,-0.037110
12.454690,0.601795,0.756132,-9.523434,0.033750,-0.089644,-0.037110
12.459826,0.552742,0.750150,-9.525827,0.034056,-0.090713,-0.035888
14.466077,0.592224,0.729811,-9.527023,0.034819,-0.090408,-0.035277
14.470935,0.592224,0.729811,-9.527023,0.034819,-0.090408,-0.035277
14.475860,0.581456,0.720240,-9.559326,0.036194,-0.094073,-0.036957
14.480750,0.581456,0.720240,-9.559326,0.036194,-0.094073,-0.036957
14.485255,0.581456,0.720240,-9.559326,0.038026,-0.094837,-0.038637
14.489740,0.564706,0.699901,-9.548559,0.038026,-0.094837,-0.038637
14.494271,0.564706,0.699901,-9.548559,0.038026,-0.094837,-0.038637
14.499058,0.605384,0.723829,-9.509077,0.032376,-0.086743,-0.033598
14.503830,0.605384,0.723829,-9.509077,0.032376,-0.086743,-0.033598
